route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
783-221,Weekend-1,1274-78301-28800-2-780ff068,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
783-221,Weekday-1,1274-78301-28800-2-fc095f90,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
783-221,Weekday-1,1274-78301-32400-2-430ffee9,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
783-221,Weekend-1,1274-78301-32400-2-780ff068,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
783-221,Weekend-1,1274-78301-36000-2-15706f6a,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
298-221,Weekday-4,1261-29802-37200-2-6ba404aa,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Weekday-3,1261-29802-37200-2-e9a0a5b5,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
298-221,Daily-2,1261-29802-39000-2-6ba404aa,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Daily-3,1261-29802-39000-2-e9a0a5b5,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
783-221,Weekday-1,1274-78301-36000-2-430ffee9,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
783-221,Weekend-1,1274-78301-39600-2-15706f6a,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
783-221,Weekday-1,1274-78301-39600-2-430ffee9,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
783-221,Weekend-1,1274-78301-43200-2-15706f6a,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
783-221,Weekday-1,1274-78301-43200-2-430ffee9,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
783-221,Weekend-1,1274-78301-46800-2-15706f6a,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
